"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"3353",4112,0,78.2,11.75,8,2,345,49.29,11,0.95,1.342871921
"3354",4113,0,94,66,14,2,345,49.29,11,0.95,1.622113919
"3355",4114,0,0,17.5,2,2,345,49.29,11,0.95,2.284236837
"3356",4115,0,0,8,12,2,345,49.29,11,0.95,4.676688945
"3357",4116,0,0,36,21,2,345,49.29,11,0.95,1.764572827
"3358",4117,0,0,59.5,25,2,345,49.29,11,0.95,4.316140752
"3359",4118,0,0,14,14,2,345,49.29,11,0.95,6.840067056
"3360",4119,1,75.6,5.5,3,2,67,9.57,2,0.18,1.940476981
"3361",4120,0,88.8,9.5,2,2,345,49.29,11,0.95,2.696912862
"3362",4121,0,0,40,4,2,345,49.29,11,0.95,7.162195367
"3363",4122,0,75.9,40.5,6,2,345,49.29,11,0.95,4.25353309
"3364",4123,0,90.8,29.5,3,2,345,49.29,11,0.95,4.74103256
"3365",4124,1,0,29.5,0,2,22,3.14,1,0.06,4.904867456
"3366",4125,1,100,38,34,2,156,22.29,5,0.43,9.101096975
"3367",4126,0,0,57,63,2,345,49.29,11,0.95,10.47320602
"3368",4127,0,0,56,29,2,345,49.29,11,0.95,7.086746637
"3369",4128,1,0,56,34,2,117,16.71,4,0.32,2.073151303
"3370",4129,0,0,27,32,2,345,49.29,11,0.95,1.705457388
"3371",4130,0,0,35.5,4,2,345,49.29,11,0.95,4.892038464
"3372",4131,0,0,25,19,2,345,49.29,11,0.95,1.816422194
"3373",4132,0,0,9.5,12,2,345,49.29,11,0.95,5.171842442
"3374",4133,0,0,33.5,81,2,345,49.29,11,0.95,4.966687417
"3375",4134,0,0,33.5,13,2,345,49.29,11,0.95,7.684882283
"3376",4135,0,0,33.5,0,2,345,49.29,11,0.95,1.104137914
"3377",4136,0,0,41,23,2,345,49.29,11,0.95,11.3771207
"3378",4137,0,0,65,33,2,345,49.29,11,0.95,6.666291222
"3379",4138,0,86.3,34.25,62,2,345,49.29,11,0.95,1.493013824
"3380",4139,0,83.5,13.75,0,2,345,49.29,11,0.95,4.806065756
"3381",4140,0,90.1,50.25,8,2,345,49.29,11,0.95,4.645471352
"3382",4141,0,86,29.5,0,2,345,49.29,11,0.95,1.155335804
"3383",4142,0,88.5,30,4,2,345,49.29,11,0.95,6.497990989
"3384",4143,0,88.6,47.75,2,2,345,49.29,11,0.95,2.910908126
"3385",4144,0,77.9166666666667,23.75,8,2,345,49.29,11,0.95,2.539727984
"3386",4145,0,70.0833333333333,12,160,2,345,49.29,11,0.95,1.179329339
"3387",4146,0,0,12,0,2,345,49.29,11,0.95,1.224864592
"3388",4147,0,82.3,29.5,13,2,345,49.29,11,0.95,2.471577034
"3389",4148,0,82,10.67,150,2,345,49.29,11,0.95,5.534059465
"3390",4149,0,84.2,18.25,26,2,345,49.29,11,0.95,1.430870157
"3391",4150,1,76.6666666666667,1.25,90,1,217,31,7,0.59,2.168277951
"3392",4151,0,88.9,26.75,0,1,345,49.29,11,0.95,4.56753522
"3393",4152,0,87.4,56.5,19,1,345,49.29,11,0.95,2.462375775
"3394",4153,0,0,56.5,0,1,345,49.29,11,0.95,4.436612658
"3395",4154,0,82.1,1,4,1,345,49.29,11,0.95,6.497990989
"3396",4155,0,0,1,0,1,345,49.29,11,0.95,2.130238648
"3397",4156,0,79.2,1,20,1,345,49.29,11,0.95,5.93726832
"3398",4157,0,88.4166666666667,44.5,2,1,345,49.29,11,0.95,1.609635898
"3399",4158,0,89.25,60.5,9,1,345,49.29,11,0.95,3.251776797
"3400",4159,0,87.1666666666667,33.5,4,1,345,49.29,11,0.95,6.623859115
"3401",4160,0,86.3333333333333,23.5,6,1,345,49.29,11,0.95,7.427662214
"3402",4161,0,74.8,21.5,3,1,388,55.43,13,1.06,6.161197067
"3403",4162,0,89.1,39.5,18,1,345,49.29,11,0.95,2.310090692
"3404",4163,0,87,64,8,1,384,54.86,13,1.05,1.104137914
"3405",4164,1,82.1666666666667,46.75,15,1,191,27.29,6,0.52,0.952456455
"3406",4165,0,82.7,7.5,1,1,383,54.71,13,1.05,2.409675832
"3407",4166,0,0,7.5,0,1,345,49.29,11,0.95,1.800916065
